id,crc,createdAt,faultCode,faultCodeType,faultMessage,firmName,kavachSubSystemId,kavachSubSystemType,messageDate,messageLength,messageSequence,messageTime,moduleId,nmsSystemId,systemVersion,totalFaultCodes
1,1B665EDE,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20281,00:20:30,1,3,1,1
1,F9A7BA6A,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20289,00:20:36,2,3,1,1
1,4844932D,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20290,00:20:36,1,3,1,1
1,8B09BACD,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20358,00:21:02,2,3,1,1
1,4E5E957B,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20359,00:21:02,1,3,1,1
1,B892CEF9,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20382,00:21:08,2,3,1,1
1,7DC5E14F,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20383,00:21:08,1,3,1,1
1,6820C27D,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20414,00:21:34,1,3,1,1
1,AD77EDCB,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20415,00:21:34,2,3,1,1
1,30372C75,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20422,00:21:40,1,3,1,1
1,F56003C3,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20423,00:21:40,2,3,1,1
1,747628A3,,49,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20454,00:21:54,15,3,1,1
1,1B28CF9E,,49,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20455,00:21:54,14,3,1,1
1,98212EF3,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20492,00:22:06,1,3,1,1
1,5D760145,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20493,00:22:06,2,3,1,1
1,C6F7337C,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20515,00:22:12,2,3,1,1
